"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"146344","624.736566313","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3591, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146345","624.736580334","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3592, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146346","624.736591987","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=3593, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146349","624.736656951","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3591, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
"146350","624.736669976","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3592, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
"146351","624.736682836","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=3593, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
"146374","624.743361697","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3594, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146388","624.746380158","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3595, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146412","624.752960380","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3596, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146474","624.782800711","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","75","Action, SN=157, FN=0, Flags=........C, Dialog Token=103","","Action"
