"No.","Time","Source","Destination","Protocol","Length","Info"
"64","2.175943843","aa:3a:0e:b6:ed:12","IPv6mcast_02","802.11","151","QoS Data, SN=30, FN=0, Flags=.p.....TC"
"65","2.175956193","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","448","QoS Data, SN=31, FN=0, Flags=.p.....TC"
"66","2.195565614","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=12, FN=0, Flags=.......TC"
"67","2.244025626","aa:3a:0e:b6:ed:12","IPv4mcast_16","802.11","135","QoS Data, SN=1, FN=0, Flags=.p.....TC"
"68","2.247097753","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=13, FN=0, Flags=...P...TC"
"69","2.298825167","aa:3a:0e:b6:ed:12","Broadcast","802.11","118","Data, SN=1402, FN=0, Flags=.pm...F.C"
"70","2.302294638","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=14, FN=0, Flags=.......TC"
"71","2.302323623","aa:3a:0e:b6:ed:12","IPv4mcast_16","802.11","130","Data, SN=1403, FN=0, Flags=.pm...F.C"
"72","2.305707867","aa:3a:0e:b6:ed:12","IPv4mcast_fb","802.11","179","Data, SN=1404, FN=0, Flags=.pm...F.C"
"73","2.305783593","aa:3a:0e:b6:ed:12","IPv6mcast_16","802.11","186","Data, SN=1405, FN=0, Flags=.p....F.C"
"74","2.308525103","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=32, FN=0, Flags=.p.....TC"
"75","2.308582429","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=33, FN=0, Flags=.p.....TC"
"76","2.317941654","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","683","QoS Data, SN=36, FN=0, Flags=.p.....TC"
"77","2.317972071","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=34, FN=0, Flags=.p.....TC"
"78","2.317985257","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","553","QoS Data, SN=35, FN=0, Flags=.p.....TC"
"79","2.348470746","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=37, FN=0, Flags=.p.....TC"
"80","2.348589498","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=38, FN=0, Flags=.p.....TC"
"81","2.348659372","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=39, FN=0, Flags=.p.....TC"
"82","2.351488420","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","711","QoS Data, SN=40, FN=0, Flags=.p.....TC"
"83","2.354501546","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=41, FN=0, Flags=.p.....TC"
"84","2.354640267","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=42, FN=0, Flags=.p.....TC"
"85","2.357951252","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","150","QoS Data, SN=43, FN=0, Flags=.p.....TC"
"86","2.361129505","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","211","QoS Data, SN=44, FN=0, Flags=.p.....TC"
"87","2.364350415","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=45, FN=0, Flags=.p.....TC"
"88","2.364370903","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","135","QoS Data, SN=46, FN=0, Flags=.p.....TC"
"89","2.367701336","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","135","QoS Data, SN=47, FN=0, Flags=.p.....TC"
"90","2.370815904","aa:3a:0e:b6:ed:12","IPv6mcast_ff:b6:ed:12","802.11","167","QoS Data, SN=48, FN=0, Flags=.p.....TC"
"91","2.370836133","aa:3a:0e:b6:ed:12","IPv6mcast_ff:e1:ce:ea","802.11","167","QoS Data, SN=49, FN=0, Flags=.p.....TC"
"92","2.398299133","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=15, FN=0, Flags=.......TC"
"93","2.398380782","aa:3a:0e:b6:ed:12","IPv6mcast_16","802.11","171","QoS Data, SN=52, FN=0, Flags=.p.....TC"
"94","2.398408319","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=50, FN=0, Flags=.p.....TC"
"95","2.398421570","aa:3a:0e:b6:ed:12","IPv6mcast_ff:00:00:01","802.11","167","QoS Data, SN=51, FN=0, Flags=.p.....TC"
"96","2.422455397","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=53, FN=0, Flags=.p.....TC"
"97","2.447979109","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=16, FN=0, Flags=...P...TC"
"98","2.474265479","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=7, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"99","2.480848917","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=8, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"100","2.494395048","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=17, FN=0, Flags=.......TC"
"101","2.494551885","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","135","QoS Data, SN=54, FN=0, Flags=.p.....TC"
"102","2.494566186","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=55, FN=0, Flags=.p.....TC"
"103","2.494578425","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=56, FN=0, Flags=.p.....TC"
"104","2.494590768","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=57, FN=0, Flags=.p.....TC"
"105","2.494602741","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=58, FN=0, Flags=.p.....TC"
"106","2.494614970","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=59, FN=0, Flags=.p.....TC"
"107","2.494626903","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=60, FN=0, Flags=.p.....TC"
"108","2.494638889","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","169","QoS Data, SN=61, FN=0, Flags=.p.....TC"
