sample_no,No.,Time,Source,Destination,Protocol,Length,Info,avrg_len,var_len,IAT,avrg_IAT,var_IAT,count,upload_count
47,67520,106.499201352,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2820, FN=0, Flags=.p.....TC",154.40740740740742,403.415793151642,1.0999896269999994,0.05164407612962952,0.03879745192902192,54,54
48,68054,109.864712163,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,135,"QoS Data, SN=2828, FN=0, Flags=.p.....TC",138.42857142857142,34.2857142857143,1.6767203269999982,0.2456990189999999,0.3984036075840269,7,7
49,68100,110.453298763,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=2833, FN=0, Flags=.p..R..TC",159.0,,0.5454137940000123,0.5454137940000123,,1,1
51,68445,114.957330507,aa:3a:0e:b6:ed:12,IPv4mcast_fb,802.11,216,"QoS Data, SN=2834, FN=0, Flags=.p.....TC",174.25,863.5833333333334,4.504031743999988,1.2964648147499993,4.674136679298642,4,4
52,68746,116.866565181,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2837, FN=0, Flags=.p.....TC",147.0,0.0,1.2274071589999949,0.4145462173333338,0.4956222528122357,3,3
53,68924,118.930944912,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2838, FN=0, Flags=.p.....TC",147.0,0.0,2.048148237999996,1.0475516334999995,2.002387129873845,2,2
55,69274,122.547763316,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2840, FN=0, Flags=.p..R..TC",642.04,120129.70666666667,3.569863374999997,0.16406623263999962,0.5086407128828538,25,25
56,69539,124.376830365,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=2847, FN=0, Flags=.p.....TC",153.64705882352942,38.218848829854565,1.2972746080000093,0.015871484058823597,0.010833686239690212,187,187
57,70509,126.510853553,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,175,"QoS Data, SN=2934, FN=0, Flags=.p.....TC",160.4156378600823,108.40091147161826,0.4633302769999972,0.00897229283539093,0.003453397585356643,243,243
58,71585,128.304140726,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=3094, FN=0, Flags=.p.....TC",156.96385542168676,34.95626140927374,0.07635029100001134,0.012047477198795108,0.005639950584334571,166,166
59,72268,130.280427078,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=3162, FN=0, Flags=.p.....TC",153.74358974358975,2707.2297145870375,0.05275542800001176,0.0050113337589743736,0.00026581821884415896,390,390
60,74244,132.325344963,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=3423, FN=0, Flags=.p.....TC",146.8092485549133,4.411076757628729,0.1432531469999958,0.0101393315433527,0.0008539126789059186,173,173
