sample_no,avrg_len,var_len,avrg_IAT,var_IAT,count,upload_count
93,927.4,276079.83999999997,0.4824500322000006,0.2567881611414651,5,5
94,162.20689655172413,3.9571938168846787,0.07103363772413841,0.01668979367332357,29,29
95,357.6236559139785,184905.11642964513,0.02118331107526874,0.0021725874714854324,93,93
96,530.9873417721519,309423.4302195161,0.023735005215189845,0.00205014349900876,79,79
97,1370.0,0.0,0.44457669499999497,0.0,1,1
103,196.36363636363637,4356.04958677686,1.1403249282727266,12.398766105173799,11,11
105,801.2872340425532,592307.4813263918,0.052166554627659636,0.18015110241165497,94,86
106,193.94117647058823,36397.5847750865,0.018986886722689084,0.00382936265592687,119,119
107,313.15441176470586,359119.1599805364,0.014872696647058807,0.0025305780435973474,136,128
108,876.9565217391304,500544.6068052927,0.018099682521739106,0.003997609470433619,92,87
109,623.9906976744186,843597.6278204434,0.010780400651162836,0.0022456465611316984,215,177
110,1032.0555555555557,221848.27469135803,0.1030191713888892,0.07273601434708805,18,18
111,182.0,578.0,0.6834301706666679,0.22721179035758013,3,3
112,155.0,0.0,0.09610716694444459,0.05392339885036021,18,18
113,335.0416666666667,169649.49826388896,0.04696512681249961,0.02793841972637316,48,48
115,402.46153846153845,164237.01775147923,0.15797548084615387,0.37523979361010373,26,26
118,362.85714285714283,187268.4081632653,0.4307365927857144,2.358740377452812,14,14
119,710.452380952381,310691.39058956923,0.015924200325396928,0.02059446172943555,126,126
120,422.32710280373834,226788.1453402044,0.01769511574766336,0.008158443750724758,107,107
121,590.4736842105264,318583.6177285318,0.04489858447368533,0.016984210589068877,19,19
122,1011.2380952380952,251317.60997732426,0.0683778426666655,0.07153536444965994,21,21
123,351.44444444444446,140597.77216610557,0.018705732383838578,0.03721691851415604,198,198
124,451.32608695652175,247970.06033396343,0.0076526263442028685,0.000570820697569107,276,274
125,421.9425287356322,188002.53692693883,0.010975706936781682,0.0005849232065535667,174,174
126,494.4611650485437,182026.03489961356,0.009971046582524023,0.0007115543107514908,206,206
127,254.30351437699682,73204.9589972338,0.006506069629393077,0.0006472487826242589,313,312
128,255.2450980392157,175634.82227989243,0.00935307699509791,0.0013052743323842212,204,200
129,249.19880715705764,212634.93463078368,0.004155720566600425,0.0009105910813616305,503,491
130,295.386301369863,327775.21606805496,0.0018274485132420298,8.553480972762588e-05,1095,1047
131,360.59887005649716,252288.9068913785,0.003510494952919002,0.00022562411452803192,531,525
